objectid,id,cod_setor,st_areashape,st_lengthshape
1,330455705060001,060001,1766517.22953204,13085.4956006325
2,330455705060002,060002,28370.616513985,762.462861759334
3,330455705060003,060003,4828.650010785,417.378311912944
4,330455705060004,060004,5664.99339435,499.944368377313
5,330455705060005,060005,11008.572647955,798.966572889238
6,330455705060006,060006,27175.925687395,1268.54813324638
7,330455705060007,060007,29128.660585905,675.09111427529
8,330455705060008,060008,109436.99480009,1619.7240237669
9,330455705060009,060009,744046.114243145,4531.62977589079
10,330455705060010,060010,10856.463905845,720.260175810143
11,330455705060011,060011,19758.132531955,667.782787676864
12,330455705060012,060012,10701.580103385,662.91451129899
13,330455705060013,060013,13316.06558041,1331.22762100555
14,330455705060014,060014,17511.09922822,1017.75087594038
15,330455705060015,060015,684584.902754495,6241.53233072636
16,330455705060016,060016,1190577.8924133,6543.59141990934
17,330455705060017,060017,15448.38536104,634.363856304686
18,330455705060018,060018,14449.25254897,547.728540401711
19,330455705060019,060019,15659.30624187,591.021129934337
20,330455705060020,060020,8489.975447735,530.761736106962
21,330455705060021,060021,15200.9023894,732.708985573935
22,330455705060022,060022,664278.014932605,4110.87317964939
23,330455705060023,060023,147047.43888669,3033.72194249436
24,330455705060024,060024,8705.65453888,454.200698697465
25,330455705060025,060025,25595.38927914,962.005491172607
26,330455705060026,060026,41322.72357299,1532.78599019617
27,330455705060027,060027,37686.60036984,1510.14949031186
28,330455705060028,060028,49021.239635525,1301.86691087929
29,330455705060029,060029,58971.90386549,1172.8608803192
30,330455705060030,060030,60631.18199731,1786.55463282165
31,330455705060031,060031,13274.066954535,564.945378530239
32,330455705060032,060032,53877.348934465,2037.81726329913
33,330455705060033,060033,43509.625268925,1174.50902779915
34,330455705060034,060034,14087.01510013,817.740302908507
35,330455705060035,060035,19602.612250675,769.698417693416
36,330455705060036,060036,162536.18803708,3811.28818565833
37,330455705060037,060037,180803.77591954,1813.97406585046
38,330455705060038,060038,144832.748250785,2321.63750084721
39,330455705060039,060039,21309.951557945,745.971415766248
40,330455705060040,060040,22799.64368235,825.395400082547
41,330455705060041,060041,28609.89654657,879.86240821603
42,330455705060042,060042,10939.220559985,626.26746549433
43,330455705060043,060043,24183.756456655,989.3919278042
44,330455705060044,060044,32572.76810528,935.750126381891
45,330455705060045,060045,170975.326556335,1703.35174594476
46,330455705060046,060046,68023.633810415,1144.02702493396
47,330455705060047,060047,40827.13987334,934.859126888917
48,330455705060048,060048,16088.50429104,646.686620933345
49,330455705060049,060049,29724.400567485,1380.70931025207
50,330455705060050,060050,27562.548614065,1335.11719931334
51,330455705060051,060051,32645.76788607,1302.73121124538
52,330455705060052,060052,64645.620555625,1215.21886139002
53,330455705060053,060053,246020.355587625,2330.39261134339
54,330455705060054,060054,33810.80525824,1308.12241143901
55,330455705060055,060055,21018.23241415,820.604516577191
56,330455705060056,060056,10870.32320209,648.50140503719
57,330455705060057,060057,160775.74228525,2072.88816361064
58,330455705060058,060058,18581.24683267,824.103364409342
59,330455705060059,060059,22794.441162965,1026.11510210861
60,330455705060060,060060,92997.70412741,1781.61325759731
61,330455705060061,060061,22190.162525395,1123.06122999454
62,330455705060062,060062,21910.495789785,1047.95310667382
63,330455705060063,060063,6762.42564672,486.393024523419
64,330455705060064,060064,19550.490340995,673.334646788313
65,330455705060065,060065,11356.7977371,624.794945692709
66,330455705060066,060066,50596.91413349,1477.80871299918
67,330455705060067,060067,24319.136227285,988.145974035878
68,330455705060068,060068,21102.17070081,594.209849038396
69,330455705060069,060069,20563.674245405,775.325263623512
70,330455705060070,060070,7362.171495825,428.447670570831
71,330455705060071,060071,6302.53631468,398.93614905027
72,330455705060072,060072,95394.56524799,1724.53548554972
73,330455705060073,060073,33712.69826138,744.821764854902
74,330455705060074,060074,24891.82899427,753.665921593195
75,330455705060075,060075,22427.50481672,1025.40265530796
76,330455705070001,070001,322455.712263205,2828.92134901665
77,330455705070002,070002,32241.091227555,846.623856185618
78,330455705070003,070003,206071.60634425,2368.64897321533
79,330455705070004,070004,63569.9907923,1160.81095596561
80,330455705070005,070005,260178.24077442,4655.08694797486
81,330455705070006,070006,553296.945460055,6711.21232925875
82,330455705070007,070007,1418003.09235706,8161.00449446283
83,330455705070008,070008,220596.81065395,2234.4033040031
84,330455705070009,070009,198168.45047517,2009.78348129102
85,330455705070010,070010,88389.607982435,1631.71063763678
86,330455705070011,070011,83627.3562674,1889.20591083504
87,330455705070012,070012,76999.145560275,1461.41772832427
88,330455705070013,070013,56997.435131525,1235.1849142918
89,330455705070014,070014,101190.31674413,1388.86975232062
90,330455705070015,070015,157398.95639625,1906.55296810189
91,330455705070016,070016,108741.224355645,1860.78688723184
92,330455705070017,070017,126532.118766805,1998.19434645063
93,330455705070018,070018,364513.36737195,2761.89517063145
94,330455705070019,070019,8313.738385195,604.182066722384
95,330455705070020,070020,80253.411843585,1291.85929796039
96,330455705070021,070021,34959.723687055,1166.74852528165
97,330455705070022,070022,8829.489044335,392.799630432853
98,330455705070023,070023,2991.06421849,245.267447335418
99,330455705070024,070024,28026.84677491,778.533516698048
100,330455705070025,070025,11612.878749425,430.001588924182
101,330455705070026,070026,15058.33666561,680.109631564589
102,330455705070027,070027,26391.50140055,708.0776508939
103,330455705070028,070028,12300.65878542,470.155704881525
104,330455705070029,070029,12497.207436785,757.810741941126
105,330455705070030,070030,3471.62785176,322.898542740291
106,330455705070031,070031,7098.26407862,955.747621461457
107,330455705070032,070032,2458.301804165,203.218937868965
108,330455705070033,070033,10670.532659365,602.498816365715
109,330455705070034,070034,17954.39290977,682.919789863878
110,330455705070035,070035,21507.422857535,632.252212044659
111,330455705070036,070036,26308.20786157,923.481520177489
112,330455705070037,070037,58909.165409895,1089.84873071336
113,330455705070038,070038,40806.97854361,1168.82861037496
114,330455705070039,070039,3811.172691985,266.89763621239
115,330455705070040,070040,4504.30409165,367.734711935494
116,330455705070041,070041,19017.84277044,939.69919690974
117,330455705070042,070042,4524.839195595,296.433325655487
118,330455705070043,070043,9091.322886925,466.656620066669
119,330455705070044,070044,7246.07605791,464.493765172718
120,330455705070045,070045,14503.65217705,577.228956047029
121,330455705070046,070046,7070.88942555,340.26659629858
122,330455705070047,070047,4824.90669851,310.821646274982
123,330455705070048,070048,15091.994226945,649.58459092086
124,330455705070049,070049,2545.31463395,217.190572122179
125,330455705070050,070050,5902.434598105,535.754523977755
126,330455705070051,070051,6687.172828325,395.811292753087
127,330455705070052,070052,5496.84263069,367.093376060094
128,330455705070053,070053,5046.930250485,416.830519654962
129,330455705070054,070054,3522.764815305,267.690498102676
130,330455705070055,070055,10528.576153165,724.860612133427
131,330455705070056,070056,5826.708506815,386.833033306362
132,330455705070057,070057,3173.307255655,223.498367362169
133,330455705070058,070058,5909.36260807,390.274657103905
134,330455705070059,070059,4743.832372115,344.752927200137
135,330455705070060,070060,3999.098560145,264.356177115008
136,330455705070061,070061,4029.44189851,256.937642503909
